CODEVALUE,ID,STATUS,PREFLABEL_FI,PREFLABEL_SV,PREFLABEL_EN,DESCRIPTION_FI,DESCRIPTION_SV,DESCRIPTION_EN,SHORTNAME,HIERARCHYLEVEL,STARTDATE,ENDDATE
v1074,dc92d22f-1106-4a66-9e72-91bdc0b2840d,VALID,Opintojen tukeminen,Stöd för studier,Financial support for studies,"Tähän alapalveluluokkaan kuuluvat opiskelijan taloudellisten tukien muodot, tuen hakuprosessit ja -palvelut sekä myöntämisen edellykset. Luokka käsittää kaikki koulutustasot, joilla opiskelija voi saada julkista taloudellista tukea.","Till denna serviceundergrupp hör ekonomiska stödformer för den studerande, ansökningsprocesser och -tjänster för stöd samt förutsättningar för beviljande av stöd. Gruppen omfattar alla utbildningsnivåer där den studerande kan få offentligt ekonomiskt stöd.","This service subclass contains forms of financial support for students, support application processes and services, and eligibility criteria. The class includes all levels of education and training where financial aid is available for students.",,,,
v1075,ab56b2cd-e7b1-4605-80a7-25fbea7aadd7,VALID,Tiede ja tutkimus,Vetenskap och undersökning,Science and research,"Tähän alapalveluluokkaan kuuluvat tieteelliseen tutkimustyöhön kuuluvat palvelut, erityisesti liittyen tutkimuksen rahoitukseen, tutkimuslupamenettelyihin ja julkaisutoimintaan.","Till denna serviceundergrupp hör tjänster i samband med vetenskapligt forskningsarbete, särskilt beträffande forskningens finansiering, förfaranden angående forskningstillstånd samt publikationsverksamhet.","This service subclass includes services related to scientific research, in particular those associated with research funding, research permit procedures and publication activities.",,,,
v1076,d614eb0a-a0d6-4296-bd46-f085e7ef287b,VALID,Oikeusturva,Rättssäkerhet,Legal protection,"Tässä palveluluokassa käsitellään perusoikeuksiin, lainsäädäntöön, oikeusprosesseihin ja -asteisiin, yksilönsuojaan, vähemmistöihin ja immateriaalioikeuksiin liittyviä palveluja. Kuluttaja-asioita ei käsitellä tässä luokassa, vaan omassa pääluokassaan.","I denna servicegrupp behandlas tjänster relaterade till grundläggande rättigheter, lagstiftning, rättsprocesser och -instanser, skydd för privatlivet, minoriteter samt immaterialrätt. Konsumentärenden behandlas inte i denna grupp, utan i en egen huvudgrupp.","This service class contains services related to fundamental rights, legislation, court processes and instances, protection of privacy, minorities and immaterial rights. Rather than being included in this class, consumer issues have a main class of their own.",,,,
v1077,1b94470b-fdcb-4546-9edc-e285c5928797,VALID,Kansalaisten perusoikeudet,Medborgarnas grundläggande rättigheter,Citizens’ fundamental rights,"Tähän palvelualaluokkaan kuuluvat Suomen kansallisesta lainsäädännöstä johtuvat palvelut, jotka liittyvät äänioikeuteen, sanan-, uskonnon- ja kokoontumisvapauteen sekä kansallis- ja vähemmistökieliin. Luokkaan kuuluvat myös EU-kansalaisen oikeuksiin liittyvät palvelut.","Denna serviceundergrupp omfattar tjänster som föranleds av Finlands nationella lagstiftning och som anknyter till rösträtt, yttrande-, religions- och mötesfrihet samt national- och minoritetsspråk. Gruppen omfattar också tjänster relaterade till EU-medborgares rättigheter.","This service subclass contains services derived from the Finnish national legislation associated with the right to vote, freedom of speech, religion and assembly, and national and minority languages. The class also includes services associated with the rights of an EU citizen.",,,,
v1078,a4fb5c37-b77c-435e-9c0c-b051d6261191,VALID,Lait ja asetukset,Lagar och förordningar,Acts and decrees,"Tässä palvelualaluokassa käsitellään palveluja, joiden tarkoitus on saattaa voimassa oleva lainsäädäntö kansalaisten ulottuville, tiedottaa lainsäädäntötyöstä ja helpottaa eri tavoin kansalaisten osallistumista lainsäädännön laatimis- ja kuulemisprosesseihin.","I denna serviceundergrupp behandlas tjänster, vars syfte är att göra gällande lagstiftning tillgänglig för medborgare, informera om lagstiftningsarbetet och på olika sätt underlätta medborgarnas deltagande i lagstiftningens processer för beredning och hörande.","This service subclass contains services intended to give the citizens access to valid legislation, inform the citizens of legislative projects and facilitate citizens’ participation in legislative drafting and consultation processes in different ways.",,,,
v1079,507dcd94-d1e7-4b74-9b2f-1fd880869fcf,VALID,Laillisuusvalvonta,Laglighetsövervakning,Legal protection and legality,"Tähän palvelualaluokkaan kuuluvat palvelut, joiden avulla kansalaiset voivat valvoa viranomaisten toiminnan lainmukaisuutta ja kannella viranomaisen virheellisestä toiminnasta. Tässä keskeisiä ovat Oikeuskansleri ja Eduskunnan oikeusasiamies.",Denna serviceundergrupp omfattar tjänster med vars hjälp medborgare kan följa upp myndighetsverksamhetens lagenlighet och anmäla fel i myndigheternas verksamhet. Nyckelinstanserna i dessa ärenden är Justiekanslern och Riksdagens justieombudsman.,This service subclass contains services through which citizens can monitor the legality and report errors in the authorities’ actions. The central authorities in these matters are the Chancellor of Justice and the Parliamentary Ombudsman.,,,,
v1080,ce5acd9a-a603-4013-9ec8-b62076fbde57,VALID,Oikeusapu,Rättshjälp,Legal aid,Tässä palvelualaluokassa käsitellään oikeusapuun liittyvät palvelut,Denna serviceundergrupp omfattar tjänster relaterade till rättshjälp.,This service subclass contains services associated with legal aid.,,,,
v1081,8530ecaa-af0c-4a4e-b827-3d41865fcd21,VALID,Rikosten ilmoittaminen,Anmälan om brottsmål,Reporting crimes,Tähän palvelualaluokkaan kuuluvat erilaisten rikosten poliisille ilmoittamiseen liittyvät palvelut ja asiointikanavat.,Denna serviceundergrupp omfattar olika tjänster och servicekanaler relaterade till brottsanmälan till polisen.,This service subclass contains services and service channels associated with reporting different kinds of crimes to the police.,,,,
v1082,d41beb6a-5626-466d-88e8-afb1bffe74ba,VALID,Syyttäjälaitos,Åklagarväsendet,Prosecutors,Tähän palvelualaluokassa käsitellään syyttäjälaitokseen liittyviä asioita palvelujen näkökulmasta.,I denna serviceundergrupp behandlas olika ärenden relaterade till åklagarväsendet ur tjänsternas synvinkel.,This service subclass contains issues and services related to prosecution services.,,,,
v1083,25b89996-52b8-4fba-8861-5b3a248ba2ad,VALID,Tuomioistuimet,Domstolarna,Courts of law,Tässä palvelualaluokassa käsitellään tuomioistuimiin liittyviä palveluita (esim. erilaiset hakemukset sekä oikeudenkäynnit) eri oikeusasteissa ja tuomioistuinlinjoissa.,Denna serviceundergrupp omfattar tjänster relaterade till domstolar (t.ex. olika ansökningshandlingar samt rättegångar) i olika rättsinstanser och domstolslinjer.,"This service subclass contains services associated with courts of law and their processes. These include, for example, applications and trial procedures.",,,,
v1084,f10ec5be-e5d8-47ff-bc62-714ea514f72e,VALID,Rangaistukset,Straff,Sentences and sanctions,Tähän palvelualaluokkaan kuuluvat rangaistukset ja muut rikosseuraamusasiat.,Denna serviceundergrupp omfattar straff och brottspåföljsärenden.,This service subclass contains punishments and sanctions for crimes.,,,,
v1085,624ab4bc-3a16-4219-9e70-13e0b83c58a6,VALID,Tietosuoja ja henkilötiedot,Datasekretess och personuppgifter,Data protection and personal data,"Tässä palvelualaluokassa käsitellään henkilötietojen ja yksityisyyden suojaan, henkilötunnuksiin ja -tunnisteisiin, matkustusasiakirjoihin ja henkilötietoja sisältäviin rekistereihin liittyviä palveluja sekä kansalaisen oikeuksia hallita ja käyttää omia tietojaan.","Denna serviceundergrupp omfattar tjänster relaterad till skyddet av personuppgifter och integritet, personbeteckningar och -koder, resedokument och register med personuppgifter samt medborgarnas rättigheter att kontrollera och begränsa användningen av deras personuppgifter.","This service subclass contains services related to personal data and privacy protection, personal identifiers, travel documents and registers containing personal data. It also contains matters pertaining to a citizen's rights to control and use their personal data.",,,,
v1086,085c49e5-0301-4b88-acde-f5c64c94b771,VALID,Vähemmistöt,Minoriteter,Minorities,Tässä palvelualaluokassa käsitellään vähemmistöjen oikeuksiin ja yhdenvertaisuus- ja kielilakeihin liittyviä palveluja.,Denna serviceundergrupp omfattar tjänster relaterade till minoriteters rättigheter samt likabehandlings- och språklagar.,This service subclass contains services related to minority rights as well as legislation on equality and language rights.,,,,
v1087,c2955f10-4ef8-4c68-b19e-8a553d4b45f0,VALID,Edunvalvonta,Intressebevakning,Public guardianship,Tässä palvelualaluokassa käsitellään holhoustoimilain mukaisen edunvalvontaan liittyvät palvelut.,Denna serviceundergrupp omfattar tjänster relaterade till intressebevakning enligt lagen om förmyndarverksamhet.,This service subclass deals with services associated with public guardianship as specified in the relevant legislation.,,,,
v1088,fadb2483-cd16-4f4d-b300-8b68f6f94046,VALID,Ulosotto,Utsökning,Enforcement,Tässä palvelualaluokassa käsitellään ulosottoon liittyviä palveluita.,Denna grupp omfattar tjänster relaterade till utsökning.,This service subclass deals with services associated with enforcement.,,,,
v1089,bdf67e16-b8e0-4cd7-8412-57efa8f2e31f,VALID,Immateriaalioikeudet,Immateriella rättigheter,Intellectual property rights,"Tässä palveluluokassa käsitellään palveluja, jotka liittyvät immateriaalioikeuksiin, kuten tavaramerkkeihin, patentteihin, hyödyllisyysmalliin ja mallisuojaan.","Denna grupp omfattar offentliga förvaltningens tjänster relaterade till immateriella rättigheter, såsom varumärken, patent, nyttighetsmodeller och mönsterskydd.","This service subclass contains services related to intellectual property rights such as trademarks, patents, utility models and design rights.",,,,
v1090,0fb30646-1469-4f8a-85e2-4c2a98b2c4a7,VALID,Demokratia,Demokrati,Democracy,"Tähän palveluluokkaan kuuluvat edustukselliseen demokratiaan liittyvät palvelut ja tiedot. Erityisesti esillä ovat puolueet, vaalijärjestelmä ja äänestäminen sekä kansalaisyhteiskunnan ja kolmannen sektorin tuottamat palvelut.","Denna servicegrupp omfattar tjänster och information relaterade till representativ demokrati. Fokus ligger på partier, valsystem och röstning samt service som tillhandahålls av medborgarsamhället och tredje sektorn.","This service class includes services and information related to representative democracy. Particularly prominent in it are political parties, the election system and voting as well as services provided by the civic society and the third sector.",,,,
v1091,abcc110e-d129-4b5e-9456-fa7a7a36e79d,VALID,Puolueet,Partier,Political parties,Tässä palvelualaluokassa käsitellään palvelujen näkökulmasta puolueen perustamista ja rekisteröintiä sekä puoluetukeen liittyviä asioita.,Denna serviceundergrupp omfattar ärenden relaterade till grundande och registrering av partier samt partistöd.,This service subclass contains the establishment and registration of a political party as well as issues related to party subsidies from the service point of view.,,,,
v1092,aa6e329a-fd9d-47b7-9eb7-881bc5a7a5ef,VALID,Vaalit,Val,Elections,"Tähän palvelualaluokkaan kuuluvat äänioikeuden edellytykset, valtakunnallisissa, kunnallisissa tai Euroopan parlamentin vaaleissa ehdolle asettumisen menettelyt, vaaleista tiedottaminen äänestäjille, vaalirahoitukseen liittyvät palvelut ja seuranta sekä vaalien tuloksia koskevat tietopalvelut.","Denna serviceundergrupp omfattar tjänster och uppföljning relaterade till förutsättningar för rösträtt, förfaranden för kandidatuppställning i nationella och kommunala val eller Europaparlamentsval, information om val till väljare, valfinansiering samt informationstjänster för valresultat.","This service subclass contains the criteria for the right to vote, the procedures for becoming a candidate in national, municipal or European Parliament elections, informing voters about elections, services and monitoring related to election financing as well as information services concerning the results of elections.",,,,
v1093,cd34bb63-f3c4-4d28-a9b9-429b32658ecf,VALID,Kansalaisvaikuttaminen,Medborgarnas medverkan,Civic participation,Tässä palvelualaluokassa käsitellään palvelujen näkökumasta kansalaisten ja kansalaisyhteisöjen poliittista ja yhteiskunnallista vaikuttamista vaalien ulkopuolella. Luokkaan kuuluvat muun muassa yhdistyksen perustamisen ja rekisteröinnin menettelyt sekä kansalais- ja kuntalaisaloitteiden tekeminen.,Denna serviceundergrupp omfattar medborgarnas och frivilligorganisationernas politiska och samhälleliga medverkan utanför val ur ett serviceperspektiv. Gruppen omfattar bland annat förfaranden för grundande och registrering av föreningar samt medborgar- och kommuninvånarinitiativ.,This service subclass contains the political and social participation of citizens and non-governmental organisations outside the elections from the service point of view. The class includes the procedures for establishing and registering an association and submitting citizen’s and local resident’s initiatives.,,,,
v1094,be6664fa-2d29-435b-ac61-1828a5649b09,VALID,Kansalaisjärjestöjen toiminta,Frivilligorganisationers verksamhet,Activities of non-governmental organisations,Tähän palvelualaluokkaan kuuluvat järjestöjen ja yhdistysten toimintaan ja sen lainmukaisuuteen kuuluvat asiat kuten kampanjointiin liittyvän nimien ja varojen keräämisen lupamenettelyt.,"Denna serviceundergrupp omfattar ärenden relaterade till organisationers och föreningars verksamhet och dess lagenlighet, såsom tillståndsförfaranden för insamling av namn och medel för kampanjer.","This service subclass contains issues related to the activities of organisations and associations and the legality of these activities, including permit procedures for collecting signatures and funds as part of campaigning.",,,,
v1095,cb70336d-cae5-4db6-9b20-79f644254527,VALID,Hallinto,Förvaltning (inaktiv),Administration,Tähän luokkaan sisältö tuotetaan myöhemmin. Älä toistaiseksi käytä tätä luokkaa palvelujen kuvailussa.,Innehållet till denna kategori produceras senare. Använd därför inte kategorin när du beskriver tjänster.,"The contents of service class will be produced later. For the time being, do not use this class in service description.",,,,
v1096,511dc2cf-a571-46bf-a6eb-8536b1366ba2,VALID,Työ ja työttömyys,Arbete och arbetslöshet,Work and unemployment,"Tässä palveluluokassa käsitellään työn etsimistä ja löytämistä, työelämän sopimuksia ja sääntöjä, työkyvyn ylläpitämistä, työttömysajan ja työllistymisen tukia sekä työttömien järjestötoimintaa.","I denna servicegrupp behandlas jobbsökning och rekrytering, avtal och regler relaterade till arbetslivet, upprätthållande av arbetsförmågan, stöd för arbetslöshetstiden och sysselsättning samt föreningsverksamhet för arbetslösa.","This service class contains seeking and finding a job, working life contracts, agreements and rules, maintaining work ability, benefits received while unemployed and looking for work, and NGO activities for the unemployed.",,,,
v1097,919bee00-5766-4b49-8edc-19471607721a,VALID,Työnhaku ja työpaikat,Jobbsökning och arbetsplatser,Jobseeking and jobs,"Tähän palvelualaluokkaan kuuluvat useat työttömälle tarkoitetut palvelut. Näiden avulla työnhakija voi muun muassa etsiä avoimia työpaikkoja Suomesta ja ulkomailta ja hakea niihin, ilmoittautua työttömäksi työnhakijaksi, tuottaa ansioluettelon ja jättää avoimia hakemuksia työpaikkapalveluihin. Myös työnhakuvalmennuksen ja työvoimakoulutuksen kaltaiset palvelut kuuluvat tähän luokkaan.","Denna serviceundergrupp omfattar flera tjänster för arbetslösa. Med hjälp av dem kan arbetssökande bland annat söka lediga arbetsplatser i Finland och utomlands, anmäla sig som arbetslös arbetssökande, skriva CV och lämna öppna ansökningar till rekryteringstjänster. Även tjänster av typen jobbsökningscoachning och arbetskraftsutbildning hör till denna grupp.","This service subclass contains many services intended for the unemployed. Supported by them, jobseekers may, for example, look for vacancies in Finland and abroad and submit their applications, register as unemployed jobseekers, prepare a CV and submit open applications to web services for jobseekers. The class also includes such services as coaching for jobseekers and labour market training.",,,,
v1098,adcd084f-97bb-4ff0-a6ea-60547c7c1909,VALID,Ammatinvalinta ja urasuunnittelu,Yrkesval och karriärplanering,Career guidance and career planning,"Tässä palvelualaluokassa käsitellään palveluja, jotka ensi sijassa auttavat joko työuran alussa tai työttömyystilanteessa olevaa työnhakijaa sijoittumaan hänelle parhaiten sopivalle työ- tai koulutusuralle. Koululaisen ja opiskelijan ammatinvalintapalvelut ovat omassa alaluokassaan Koulutus-pääluokan alla.",I denna serviceundergrupp behandlas tjänster som primärt anlitas antingen i början av arbetskarriären eller i situationer av arbetslösheten för att hjälpa arbetssökande att hitta en lämplig arbets- eller utbildningskarriär. Yrkesvalstjänster för skolelever och studerande finns i en egen undergrupp under huvudgruppen Utbildning.,"This service class contains services that primarily help jobseekers, either are at the beginning of their careers or unemployed, to embark on a path of employment or education best suited for them. Career guidance services for pupils and students are included in their own subclass under the main class Education and training.",,,,
v1099,5abf97a9-c631-458d-a154-95237750e302,VALID,Työelämän säännöt ja työehtosopimukset,Arbetslivets regler och kollektivavtal,Working life rules and collective agreements,"Tähän palvelualaluokkaan kuuluvat palvelujen näkökulmasta työsopimuksiin ja -ehtoihin, palkkaukseen, työelämän yhdenvertaisuuteen ja joustoihin kuten etä- ja osa-aikatyöhön liittyvät asiat.","Denna serviceundergrupp omfattar ärenden relaterade till arbetsavtal och -villkor, löner, jämställdhet och flexibilitet i arbetslivet, såsom distans- och deltidsarbete.","This service subclass contains issues related to employment contracts and terms of employment, pay, and equality and flexibility in working life, including telework and part-time work, from the service point of view.",,,,
v1100,47d29bcb-a909-45d9-a299-2f2bb1a5d85f,VALID,Työkyky ja ammatillinen kuntoutus,Arbetsförmåga och yrkesinriktad rehabilitering,Work ability and vocational rehabilitation,"Tässä palvelualaluokassa käsitellään palveluja, jotka tähtäävät eri tavoin ennaltaehkäisevästi työkyvyn ylläpitämiseen tai, työkyvyn jo alennuttua, sen palauttamiseen ammatillisen kuntoutuksen menetelmin.","I denna serviceundergrupp behandlas tjänster som på ett förebyggande sätt siktar på att upprätthålla arbetsförmågan eller, om arbetsförmågan redan minskat, återställa den genom yrkesinriktad rehabilitering.","This service subclass contains services that aim in different ways to promote a persons's work ability or, once an employee’s work ability already has declined, restoring it through methods of vocational rehabilitation.",,,,
v1101,46828a26-9ba4-41d5-b70d-4390ff423373,VALID,Työsuojelu,Arbetarskydd,Occupational safety,"Tähän palvelualaluokkaan kuuluvat palvelut, jotka liittyvät lakisääteiseen työsuojelutoimintaan, sen toteuttamiseen työpaikoilla ja puutteellisesta työsuojelusta ilmoittamiseen. Myös työturvallisuuteen liittyvät asiat kuuluvat tähän luokkaan, samoin kuin työsuojeluaiheeseen liittyvät työnantajille tarkoitetut palvelut. Sen sijaan työterveydenhoito on oma alaluokkansa Terveys, sairaanhoito ja ravitsemus -pääluokan alla.","Denna serviceundergrupp omfattar tjänster som anknyter till lagstadgad arbetarskyddsverksamhet, ordnandet av den på arbetsplatser och anmälan om brister i arbetarskyddet. Även ärenden relaterade till arbetssäkerheten hör till denna grupp, liksom arbetarskyddstjänster avsedda för arbetsgivare. Däremot hör företagshälsovården till en egen undergrupp under huvudgruppen Hälsa, sjukvård och näring.","This service subclass contains services related to statutory occupational safety activities, their implementation in workplaces and reporting shortcomings in them. This class also includes other occupational safety issues, as well as OHS related services for employers. Occupational health care, on the other hand, has its own subclass under the main class Health, medical care and nutrition.",,,,
v1102,c7e14df2-5e3e-45b9-8377-e0693c1122b4,VALID,Työttömän tuet ja etuudet,Stöd och förmåner för arbetslösa,Support and benefits for the unemployed,"Tässä palvelualaluokassa käsitellään työttömälle työnhakijalle suunnattuja erilaisia taloudellisia tukia, niiden saamisen edellytyksiä ja tukien hakupalveluja.","I denna serviceundergrupp behandlas olika ekonomiska stödformer för arbetslösa arbetssökande, förutsättningar för beviljande av dem och tjänster för ansökan om stöd.","This service subclass contains different types of financial support for unemployed jobseekers, support eligibility criteria and services related to applying for support.",,,,
v1103,260d6c88-61ab-4e79-807d-e5dfc924d723,VALID,Tuettu työllistyminen,Beredskapsarbete,Subsidised employment,"Tähän palvelualaluokkaan kuuluvat tuetun työllistymisen palvelut, joiden asiakasryhmiä ovat pitkään työttömänä olleet, osatyökykyiset, vammaiset ja muut työnhakijat, joiden työnsaantimahdollisuudet avoimilla työmarkkinoilla ovat tavallista heikommat. Tuetun työllistymisen palveluja ovat mm. palkkatuki, työhönvalmennus, työkokeilu ja työolosuhteiden järjestelytuki. Tähän luokkaan kuuluu myös työnantajien neuvonta tuettuun työllistymiseen liittyen.","Denna serviceundergrupp omfattar tjänsterna för stödd sysselsättning vars kundgrupper är långtidsarbetslösa, partiellt arbetsföra, personer med funktionsnedsättning och andra arbetssökande vars möjligheter att få arbete på den öppna arbetsmarknaden är mindre. Tjänsterna för stödd sysselsättning omfattar t.ex. lönesubvention, karriärträning, arbetsprövning och stöd för specialarrangemang å arbetsplatsen. Denna grupp omfattar också stöd och rådgivning för arbetsgivare i anslutning till beredskapsarbete.","This service subclass contains services of subsidised employment whose target groups are persons with extended unemployment periods, persons with reduced working capability, the handicapped and other groups with weakened opportunities for employment in the open labour market. Subsidised employment services include e.g. pay subsidy, job coaching, work try-outs and subsidy for arranging working conditions. This service subclass also includes employers' information services on subsidised employment.",,,,
v1104,40c79ba1-59c4-4d5d-8ab2-7c753d927dff,VALID,Työttömien järjestöt ja vertaistuki,Föreningar och kamratstöd för arbetslösa,Organisations of the unemployed and peer support,"Tähän palvelualaluokkaan kuuluvat ne kolmannen sektorin tuottamat palvelut ja toimintamuodot, joilla tuetaan työttömän työnhakua ja toimintakyvyn säilyttämistä.",Denna serviceundergrupp omfattar de tjänster och verksamhetsformer som produceras av tredje sektorn och som syftar till att stödja arbetslösas jobbsökning och bevara deras funktionsförmåga.,This service subclass contains services and activities provided by the third sector to support the jobseeking of unemployed persons and to maintain their functional ability.,,,,
v1105,efca2e72-dbfb-4c85-a65d-ceb9ee188749,VALID,Elinkeinot,Näringar,Industries,Tähän palveluluokkaan kuuluvat kaikki yritystoimintaan liittyvät palvelut yrityksen perustamisesta liiketoiminnan kehittämiseen ja aina yrityksen lopettamiseen saakka.,Denna servicegrupp omfattar alla tjänster relaterade till företagsverksamhet från etablering av företag till utveckling av affärsverksamheten och nedläggning av företag.,This service class contains all services related to enterprising from the establishment of an enterprise to business development and winding up a company.,,,,
v1106,caffd55d-035d-43a8-8fcb-3a4909904465,VALID,Yrityksen perustaminen,Etablering av företag,Establishing an enterprise,"Tähän alapalveluluokkaan kuuluvat yrityksen perustamisvaiheeseen tarkoitetut avustukset, rahoituspalvelut ja yrityksen perustamisneuvonta ja infotilaisuudet.","Denna underservicegrupp omfattar bidrag, finansiella tjänster och rådgivning samt informationsmöten avsedda för etablering av företag.","This service subclass contains grants and funding services intended for the startup phase, advice related to establishing an enterprise and information events.",,,,
v1107,8cf8a373-9284-4a2c-b519-b59e950d0fef,VALID,Toimialakohtaiset luvat ja velvoitteet,Branschspecifika tillstånd och skyldigheter,Sector-specific permits and obligations,"Tähän alapalveluluokkaan kuuluvat yritystoimintaa velvoittavat asiat, jotka voivat liittyä lupien hankintaan, ilmoituksien tekemiseen tai rekisteröinteihin.","Denna underservicegrupp omfattar obligatoriska ärenden relaterade till företagsverksamhet, såsom tillstånd, anmälningar och registrering.","This service subclass contains obligations associated with enterprising, which may be related to obtaining permits, submitting notifications or completing registrations.",,,,
v1108,24acbbe5-ed3e-4efc-9e83-47f28ce3811f,VALID,Liiketoiminnan kehittäminen,Utveckling av affärsverksamheten,Business development,"Tähän alapalveluluokkaan kuuluvat liiketoiminnan kehittämistä tukevat avustukset ja muut rahoituspalvelut, liiketoiminnan kehittämisohjelmat ja yritysneuvonta.","Denna underservicegrupp omfattar bidrag och andra finansiella tjänster som stöder utveckling, program för utveckling av affärsverksamheten och företagsrådgivning.","This service subclass contains grants and other funding services to support business development, business development programmes and business advice services.",,,,
v1109,ca0e452a-4231-4fdc-b98d-1c1b2165481d,VALID,Tuote- ja palvelukehitys,Utveckling av produkter och tjänster,Product and service development,"Tähän alapalveluluokkaan kuuluvat yritysten tuote- ja palvelukehitystä tukevat avustukset ja muut rahoituspalvelut, tuotekehitysohjelmat ja neuvonta liittyen esimerkiksi keksintöihin ja patentteihin.","Denna underservicegrupp omfattar bidrag och andra finansiella tjänster som stöder företagens utveckling av produkter, produktutvecklingsprogram och rådgivning i anslutning till bland annat uppfinningar patent.","This service subclass contains grants and other funding services that support companies’ product and service development, product development programmes and advice related to such areas as inventions and patents.",,,,
v1110,f4cbf9af-8adb-4c67-ad24-eca7adbdce39,VALID,Yritysyhteistyö ja verkostoituminen,Företagssamarbete och nätverkande,Business cooperation and networking,"Tähän alapalveluluokkaan kuuluvat palvelut, jotka auttavat yrityksiä verkostoitumaan, hankkimaan yhteistyökumppaneita ja toimimaan yhteisissä hankkeissa.","Denna underservicegrupp omfattar tjänster som främjar företagens nätverkande, värvning av samarbetspartner och verksamhet i gemensamma projekt.","This service subclass contains services that help companies network, find partners and participate in joint projects.",,,,
v1111,5d104e0b-0031-428c-ae17-d7504d6fe07b,VALID,Kansainvälistymispalvelut,Internationaliseringstjänster,Internationalisation services,"Tähän luokkaan kuuluvat kansainvälistymisessä tukevat avustukset ja muut rahoituspalvelut, kansainvälistymiseen liittyvä neuvonta sekä kansainvälistymiskoulutustilaisuudet.","Denna grupp omfattar bidrag och andra finansiella tjänster som stöder internationalisering, rådgivning relaterad till internationalisering och utbildning i internationalisering.",This class contains grants and other funding services that support internationalisation as well as advisory services and training events focusing on internationalisation.,,,,
v1112,112be795-b4e4-4254-b9a7-038a10c6c1fd,VALID,Tuonti ja vienti,Import och export,Import and export,"Tähän luokkaan kuuluvat esimerkiksi yrityksen tuonti- tai vientikaupan tukemiseen tarkoitetut avustukset ja muut rahoituspalvelut, tuontiin ja vientiin liittyvä neuvonta- ja tietopalvelut.","Denna grupp omfattar till exempel bidrag och andra finansiella tjänster som stöder företagens import- eller exporthandel, rådgivnings- och informationstjänster relaterade till import och export.","This class contains, for example, grants and other funding services intended to support a company’s import or export trade as well as advisory and information services related to imports and exports.",,,,
v1113,000ece31-23be-4785-b61a-b78fd3c65da6,VALID,Omistajanvaihdos,Ägarbyten,Change of ownership,"Tähän luokkaan kuuluvat omistajanvaihdosprosessiin liittyviä asiat kuten yrityksen ostaminen, yrityksen myyminen, sukupolvenvaihdos ja niihin liittyvät palvelut.","Denna grupp omfattar ärenden relaterade till processer för byte av ägare, såsom köp och försäljning av företag, generationsväxling och relaterade tjänster.","This class contains issues related to a change of ownership process, including buying or selling a company, generation change and the associated services.",,,,
v1114,000301ee-4b25-4a1c-8de0-ad7034b507c2,VALID,Yritystoiminnan lopettaminen,Nedläggning av företagsverksamhet,Winding up an enterprise,Tähän luokkaan kuuluvat yritystoiminnan lopettamisessa tukevat palvelut.,Denna grupp omfattar tjänster för nedläggning av företagsverksamhet.,This class contains services that help in winding up an enterprise.,,,,
v1115,99f85233-b507-43cf-818b-1a572dbb8746,VALID,Työnantajan palvelut,Arbetsgivares tjänster,Employer services,Työnantajan palvelut pääluokkaan kuuluvat kaikki työantajana toimimiseen liittyvät asiat kuten työntekijöiden palkkaaminen ja henkilöstön kehittäminen.,Huvudgruppen Arbetsgivares tjänster omfattar alla arbetsgivarrelaterade ärenden såsom rekrytering och utveckling av personalen.,"This service class contains all aspects of acting as an employer, including recruiting employees and personnel development.",,,,
v1116,7ec48b1e-8091-47a6-abef-e13e56ae366b,VALID,Palveluja työnantajalle,Arbetsgivartjänster,Services for employers,Tähän alapalveluluokkaan kuuluvat työnantajuuteen liittyvät asiat kuten esimerkiksi työnantajavelvoitteet.,Denna underservicegrupp omfattar arbetsgivarrelaterade ärenden såsom arbetsgivarskyldigheter.,"This service subclass contains aspects related to the role of an employer, including the employer's obligations.",,,,
v1117,1e32629a-6c2c-4bb8-9e76-8846bc3c8cea,VALID,Henkilöstöhankinta,Rekrytering,Recruitments,Tähän alapalveluluokkaan kuuluvat työntekijöiden rekrytointiin ja palkkaamiseen liittyvät palvelut.,Denna underservicegrupp omfattar tjänster relaterade till rekrytering och löner.,This service subclass contains services related to recruiting and hiring employees.,,,,
v1118,d547701e-ad82-4799-8bf8-54ea8b24da5f,VALID,Kotitalous työnantajana,Hushåll som arbetsgivare,A household as an employer,"Tähän alapalveluluokkaan kuuluvat palvelut, joiden avulla kotitalous voi teettää työtä kodissa tai vapaa-ajan asunnolla työtä ja huolehtia työntekijän palkkaan ja verotukseen liittyvistä asioista sekä kotitalousvähennyksestä.",Denna underservicegrupp omfattar tjänster med vars hjälp hushåll kan låta utföra arbeten i hemmet eller fritidsbostaden och sköta ärenden relaterade till anställdas löner och beskattning samt hushållsavdrag.,This service subclass contains services through which a household can have work performed in a home or a secondary residence and take care of issues related to the employee’s pay and taxes and the domestic help credit.,,,,
v1119,09cfcf91-43cf-4dea-bd4b-182e8aa60701,VALID,Henkilöstön kehittäminen,Personalutveckling,Personnel development,"Tähän alapalveluluokkaan kuuluvat työnantajalle tarkoitetut palvelut, jotka liittyvät esimerkiksi henkilöstön kouluttamiseen.",Denna underservicegrupp omfattar tjänster för arbetsgivare som till exempel handlar om utbildning av personalen.,This service subclass contain services intended for employers associated with such areas as personnel training.,,,,
